
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/USA/UPHL-01/2020,EPI_ISL_415539,GISAID,,Complete,29903,High,0/0/0/3/NO,Homo sapiens,2020-03-13,United States / Utah,Utah Public Health Laboratory,2020-03-17,Utah Public Health Laboratory
nCoV-19/USA/UPHL-03/2020,EPI_ISL_415541,GISAID,,Complete,29903,High,0/0/0/5/NO,Homo sapiens,2020-03-13,United States / Utah,Utah Public Health Laboratory,2020-03-17,Utah Public Health Laboratory
hCoV-19/USA/UPHL-04/2020,EPI_ISL_415542,GISAID,,Complete,29903,High,0/0/0/5/NO,Homo sapiens,2020-03-13,United States / Utah,Utah Public Health Laboratory,2020-03-17,Utah Public Health Laboratory
hCoV-19/USA/UPHL-05/2020,EPI_ISL_415543,GISAID,,Complete,29903,High,0/0/0/7/NO,Homo sapiens,2020-03-13,United States / Utah,Utah Public Health Laboratory,2020-03-17,Utah Public Health Laboratory
hCoV-19/USA/UPHL-06/2020,EPI_ISL_415544,GISAID,,Complete,29903,High,0/0/0/7/NO,Homo sapiens,2020-03-13,United States / Utah,Utah Public Health Laboratory,2020-03-17,Utah Public Health Laboratory
SARS-CoV-2/MBS-Cagliari-2/human/2020/ITA,MT192758,GenBank,,Partial,440,High,0/0/NA/NA/NA,Homo sapiens,2020-03-06,Italy / Cagliari,,2020-03-13,"Department of Surgical Sciences, University of Cagliari - AOU, Via Ospedale 54, Cagliari, Ca 09124, Italy"
SARS-CoV-2/CGMH-CGU-01/human2020/TWN,MT192759,GenBank,EPI_ISL_411915,Complete,29862,High,0/0/0/0/NO,Homo sapiens,2020-01-25,China / Taiwan,,2020-03-13,"Department of Laboratory Medicine, Lin-Kou Chang-Gung Memorial Hospital, No. 5, Fu-Shing St., Taoyuan 333, Taiwan"
SARS-CoV-2/PC00101P/human/2020/USA,MT192765,GenBank,,Complete,29829,High,0/0/0/5/NO,Homo sapiens,2020-03-11,United States / CA / San Diego County,,2020-03-16,"Department of Immunology, The Scripps Research Institute, 10550 N Torrey Pines Rd, La Jolla, CA 92037-1000, USA"
SARS-CoV-2/nCoV-19-01S/human/2020/VNM,MT192772,GenBank,,Complete,29891,High,0/0/0/1/NO,Homo sapiens,2020-01-22,Viet Nam / Ho Chi Minh city,,2020-03-14,"Microbiology and Immunology department, Pasteur institute in Ho Chi Minh city, Pasteur Street, Ho Chi Minh, Ho Chi Minh 72408, Viet Nam"
SARS-CoV-2/nCoV-19-02S/human/2020/VNM,MT192773,GenBank,,Complete,29890,High,0/0/1/3/NO,Homo sapiens,2020-01-22,Viet Nam / Ho Chi Minh city,,2020-03-14,"Microbiology and Immunology department, Pasteur institute in Ho Chi Minh city, Pasteur Street, Ho Chi Minh, Ho Chi Minh 72408, Viet Nam"
SARS-CoV-2/Valencia002/human/2020/ESP,MT198651,GenBank,EPI_ISL_414496,Partial,29611,Low,1420/0/NA/NA/NA,Homo sapiens,2020-03-04,Spain / Valencia,,2020-03-16,"Sequencing and Bioinformatics Service & Molecular Epidemiology Laboratory, FISABIO-Public Health, Av.Catalunya, 21, Valencia, Valencia 46020, Spain"
SARS-CoV-2/Valencia003/human/2020/ESP,MT198652,GenBank,EPI_ISL_414598,Partial,29302,Low,847/0/NA/NA/NA,Homo sapiens,2020-03-05,Spain / Valencia,,2020-03-16,"Sequencing and Bioinformatics Service & Molecular Epidemiology Laboratory, FISABIO-Public Health, Av.Catalunya, 21, Valencia, Valencia 46020, Spain"
SARS-CoV-2/Valencia001/human/2020/ESP,MT198653,GenBank,EPI_ISL_414495,Partial,29611,Low,222/0/NA/NA/NA,Homo sapiens,2020-03-08,Spain / Valencia,,2020-03-16,"Sequencing and Bioinformatics Service & Molecular Epidemiology Laboratory, FISABIO-Public Health, Av.Catalunya, 21, Valencia, Valencia 46020, Spain"
hCov-19/Netherlands/NA/35/2020,EPI_ISL_415492,GISAID,,Complete,29786,High,0/0/0/7/NO,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/4/2020,EPI_ISL_415493,GISAID,,Complete,29783,Low,186/0/NA/NA/NA,Homo sapiens,2020,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/5/2020,EPI_ISL_415494,GISAID,,Complete,29783,Low,185/0/NA/NA/NA,Homo sapiens,2020,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/6/2020,EPI_ISL_415495,GISAID,,Complete,29786,High,0/0/0/4/NO,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/7/2020,EPI_ISL_415496,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/8/2020,EPI_ISL_415497,GISAID,,Complete,29786,High,1/0/0/10/YES,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/9/2020,EPI_ISL_415498,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/41/2020,EPI_ISL_415499,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/42/2020,EPI_ISL_415500,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020-03-10,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/44/2020,EPI_ISL_415501,GISAID,,Complete,29783,High,0/0/1/3/NO,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/45/2020,EPI_ISL_415502,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-09,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/46/2020,EPI_ISL_415503,GISAID,,Complete,29786,High,0/0/0/10/NO,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/47/2020,EPI_ISL_415504,GISAID,,Complete,29783,Low,228/0/NA/NA/NA,Homo sapiens,2020-03-09,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/48/2020,EPI_ISL_415505,GISAID,,Complete,29783,High,0/0/1/3/NO,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/49/2020,EPI_ISL_415506,GISAID,,Complete,29780,High,0/0/2/4/NO,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/51/2020,EPI_ISL_415507,GISAID,,Complete,29783,High,0/0/1/2/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/52/2020,EPI_ISL_415508,GISAID,,Complete,29780,High,0/0/2/4/NO,Homo sapiens,2020-03-09,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/53/2020,EPI_ISL_415509,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/54/2020,EPI_ISL_415510,GISAID,,Complete,29780,High,0/0/2/5/YES,Homo sapiens,2020-03-09,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/55/2020,EPI_ISL_415511,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-09,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/56/2020,EPI_ISL_415512,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-09,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/57/2020,EPI_ISL_415513,GISAID,,Complete,29783,Low,228/0/NA/NA/NA,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/58/2020,EPI_ISL_415514,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/59/2020,EPI_ISL_415515,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/60/2020,EPI_ISL_415516,GISAID,,Complete,29783,High,0/0/1/6/NO,Homo sapiens,2020-03-11,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/61/2020,EPI_ISL_415517,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/62/2020,EPI_ISL_415518,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/63/2020,EPI_ISL_415519,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/64/2020,EPI_ISL_415520,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/65/2020,EPI_ISL_415521,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/66/2020,EPI_ISL_415522,GISAID,,Complete,29783,Low,174/0/NA/NA/NA,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/67/2020,EPI_ISL_415523,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NoordBrabant/68/2020,EPI_ISL_415524,GISAID,,Complete,29783,High,0/0/1/3/NO,Homo sapiens,2020-03-12,Netherlands / Noord Brabant,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/NoordHolland/3/2020,EPI_ISL_415525,GISAID,,Complete,29786,High,0/0/0/7/NO,Homo sapiens,2020-03-12,Netherlands / Noord Holland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht/17/2020,EPI_ISL_415526,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-10,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht/18/2020,EPI_ISL_415527,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-12,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/Utrecht/19/2020,EPI_ISL_415528,GISAID,,Complete,29783,Low,635/0/NA/NA/NA,Homo sapiens,2020-03-12,Netherlands / Utrecht,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland/25/2020,EPI_ISL_415529,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-09,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland/26/2020,EPI_ISL_415530,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-09,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland/27/2020,EPI_ISL_415531,GISAID,,Complete,29786,High,0/0/0/4/NO,Homo sapiens,2020-03-09,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/ZuidHolland/28/2020,EPI_ISL_415532,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-09,Netherlands / Zuid Holland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Switzerland/BE6651/2020,EPI_ISL_415456,GISAID,,Complete,29899,High,0/0/0/9/YES,Homo sapiens,2020-02-29,Switzerland,Hôpitaux universitaires de Genève Laboratoire de Virologie,2020-03-17,Hôpitaux universitaires de Genève Laboratoire de Virologie
hCoV-19/Switzerland/AG7120/2020,EPI_ISL_415457,GISAID,,Complete,29896,High,0/0/0/8/YES,Homo sapiens,2020-02-29,Switzerland,Hôpitaux universitaires de Genève Laboratoire de Virologie,2020-03-17,Hôpitaux universitaires de Genève Laboratoire de Virologie
hCoV-19/Switzerland/GE8102/2020,EPI_ISL_415458,GISAID,,Complete,29897,High,0/0/0/8/YES,Homo sapiens,2020-03-01,Switzerland,Hôpitaux universitaires de Genève Laboratoire de Virologie,2020-03-17,Hôpitaux universitaires de Genève Laboratoire de Virologie
hCoV-19/Switzerland/VD0503/2020,EPI_ISL_415459,GISAID,,Complete,29892,High,0/0/0/8/YES,Homo sapiens,2020-02-29,Switzerland / Genève,Hôpitaux universitaires de Genève Laboratoire de Virologie,2020-03-17,Hôpitaux universitaires de Genève Laboratoire de Virologie
hCov-19/Netherlands/Flevoland/1/2020,EPI_ISL_415460,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-09,Netherlands / Flevoland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/Gelderland/1/2020,EPI_ISL_415461,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-10,Netherlands / Gelderland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/Gelderland/2/2020,EPI_ISL_415462,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-09,Netherlands / Gelderland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/Gelderland/3/2020,EPI_ISL_415463,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-09,Netherlands / Gelderland,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Netherlands/Limburg/7/2020,EPI_ISL_415464,GISAID,,Complete,29786,High,0/0/0/2/NO,Homo sapiens,2020,Netherlands / Limburg,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/1/2020,EPI_ISL_415465,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/10/2020,EPI_ISL_415466,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/11/2020,EPI_ISL_415467,GISAID,,Complete,29786,High,0/0/0/10/YES,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/12/2020,EPI_ISL_415468,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/13/2020,EPI_ISL_415469,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/14/2020,EPI_ISL_415470,GISAID,,Complete,29786,Low,119/0/NA/NA/NA,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/15/2020,EPI_ISL_415471,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-11,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/16/2020,EPI_ISL_415472,GISAID,,Complete,29786,High,0/0/0/5/NO,Homo sapiens,2020-03-11,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/17/2020,EPI_ISL_415473,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/18/2020,EPI_ISL_415474,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/19/2020,EPI_ISL_415475,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-12,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/2/2020,EPI_ISL_415476,GISAID,,Complete,29786,High,0/0/0/8/YES,Homo sapiens,2020-03-10,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/20/2020,EPI_ISL_415477,GISAID,,Complete,29786,Low,360/0/NA/NA/NA,Homo sapiens,2020-03-12,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/21/2020,EPI_ISL_415478,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-08,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/22/2020,EPI_ISL_415479,GISAID,,Complete,29783,High,0/0/1/3/NO,Homo sapiens,2020-03-08,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/23/2020,EPI_ISL_415480,GISAID,,Complete,29786,High,0/0/0/9/NO,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/24/2020,EPI_ISL_415481,GISAID,,Complete,29786,High,0/0/0/7/NO,Homo sapiens,2020-03-08,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/25/2020,EPI_ISL_415482,GISAID,,Complete,29786,High,0/0/0/9/YES,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/26/2020,EPI_ISL_415483,GISAID,,Complete,29786,High,0/0/0/10/YES,Homo sapiens,2020-03-09,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/27/2020,EPI_ISL_415484,GISAID,,Complete,29786,Low,194/0/NA/NA/NA,Homo sapiens,2020-03-13,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/28/2020,EPI_ISL_415485,GISAID,,Complete,29786,High,0/0/0/7/NO,Homo sapiens,2020-03-12,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/29/2020,EPI_ISL_415486,GISAID,,Complete,29786,High,0/0/0/6/NO,Homo sapiens,2020-03-13,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/30/2020,EPI_ISL_415487,GISAID,,Complete,29786,High,0/0/0/7/NO,Homo sapiens,2020-03-13,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/31/2020,EPI_ISL_415488,GISAID,,Complete,29786,High,0/0/0/7/NO,Homo sapiens,2020-03-13,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/32/2020,EPI_ISL_415489,GISAID,,Complete,29783,High,0/0/1/2/NO,Homo sapiens,2020-03-13,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/33/2020,EPI_ISL_415490,GISAID,,Complete,29783,Low,874/0/NA/NA/NA,Homo sapiens,2020-03-07,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCov-19/Netherlands/NA/34/2020,EPI_ISL_415491,GISAID,,Complete,29786,High,0/0/0/4/NO,Homo sapiens,2020-03-07,Netherlands,Dutch COVID-19 response team,2020-03-17,Erasmus Medical Center
hCoV-19/Shenzhen/3/2020,EPI_ISL_414503,GISAID,,Partial,900,High,0/0/NA/NA/NA,Homo sapiens,2020-03-01,China / Guangdong,BGI,2020-03-13,bgi
hCoV-19/Iran/Qom-257045/2020,EPI_ISL_414945,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-02-15,Iran / Qom,Iran National Influenza Center,2020-03-16,Iran National Influenza Center
hCoV-19/Wales/PHW06/2020,EPI_ISL_415435,GISAID,,Complete,29842,High,0/0/1/6/NO,Homo sapiens,2020-03-06,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-17,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW10/2020,EPI_ISL_415453,GISAID,,Partial,29611,Low,600/0/NA/NA/NA,Homo sapiens,2020-03-10,United Kingdom / Wales / Cardiff,Wales Specialist Virology Centre,2020-03-17,Public Health Wales Microbiology Cardiff
hCoV-19/Switzerland/GE1422/2020,EPI_ISL_415454,GISAID,,Complete,29896,High,0/0/0/9/YES,Homo sapiens,2020-02-28,Switzerland,Hôpitaux universitaires de Genève Laboratoire de Virologie,2020-03-17,Hôpitaux universitaires de Genève Laboratoire de Virologie
hCoV-19/Switzerland/GE0199(2020,EPI_ISL_415455,GISAID,,Complete,29892,High,0/0/0/8/YES,Homo sapiens,2020-02-28,Switzerland,Hôpitaux universitaires de Genève Laboratoire de Virologie,2020-03-17,Hôpitaux universitaires de Genève Laboratoire de Virologie
hCoV-19/Iran/Qom-257531/2020,EPI_ISL_414946,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-02-17,Iran / Qom,Iran National Influenza Center,2020-03-16,Iran National Influenza Center
hCoV-19/Iran/Tehran-288885/2020,EPI_ISL_414948,GISAID,,Partial,402,High,0/0/NA/NA/NA,Homo sapiens,2020-03-08,Iran / Tehran,Iran National Influenza Center,2020-03-16,Iran National Influenza Center
hCoV-19/Northern Ireland/HSCNI01/2020,EPI_ISL_414949,GISAID,,Complete,29782,Low,512/0/NA/NA/NA,Homo sapiens,2020-02-26,United Kingdom / Northern Ireland,"Regional Virus Laboratory, Belfast",2020-03-16,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW04/2020,EPI_ISL_415041,GISAID,,Complete,29782,Low,142/0/NA/NA/NA,Homo sapiens,2020-03-07,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-16,Public Health Wales Microbiology Cardiff
hCoV-19/Brazil/BA-312/2020,EPI_ISL_415105,GISAID,,Complete,29768,High,3/0/0/9/YES,Homo sapiens,2020-03-04,Brazil / Bahia / Feira de Santana,Laboratório Central de Saúde Pública Professor Gonçalo Moniz – LACEN/BA,2020-03-16,Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
hCoV-19/Brazil/ES-225/2020,EPI_ISL_415128,GISAID,,Complete,29762,High,2/0/0/6/NO,Homo sapiens,2020-02-29,Brazil / Espirito Santo / Vila Velha,LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo,2020-03-16,Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
hCoV-19/England/20099038206/2020,EPI_ISL_415129,GISAID,,Complete,29903,High,3/0/0/7/YES,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20099079106/2020,EPI_ISL_415130,GISAID,,Complete,29903,Low,287/0/NA/NA/NA,Homo sapiens,2020-03-01,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20099107406/2020,EPI_ISL_415131,GISAID,,Complete,29903,Low,435/0/NA/NA/NA,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100001406/2020,EPI_ISL_415132,GISAID,,Complete,29903,Low,691/0/NA/NA/NA,Homo sapiens,2020-02-28,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100004706/2020,EPI_ISL_415133,GISAID,,Complete,29903,Low,269/1/NA/NA/NA,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100004806/2020,EPI_ISL_415134,GISAID,,Complete,29903,Low,146/1/NA/NA/NA,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100005406/2020,EPI_ISL_415135,GISAID,,Complete,29903,Low,365/0/NA/NA/NA,Homo sapiens,2020-02-28,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100022706/2020,EPI_ISL_415136,GISAID,,Complete,29903,Low,184/0/NA/NA/NA,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100023206/2020,EPI_ISL_415137,GISAID,,Complete,29903,Low,607/1/NA/NA/NA,Homo sapiens,2020-03-02,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
